,Sistema,Componente,Taxa Média de Falhas,Versão,WMC,DIT,NOC,CBO,RFC,LCOM,X_v,X_v / X_v-1,w
,Ant,Core,"16,96",1.9.4,"8,705","0,521","0,421","7,687","26,515","63,983","107,831","1,027","17,420"
,,Core,,1.9.3,"8,695","0,503","0,435","7,691","26,423","61,240","104,985",,
,,Core tasks,"42,87",1.9.4,"9,710","0,914","0,247","6,720","27,043","166,968","211,602","1,007","43,177"
,,Core tasks,,1.9.3,"9,688","0,914","0,247","6,720","26,989","165,538","210,097",,
,,Optional Tasks,"20,18",1.9.4,"11,311","1,410","0,049","4,492","25,754","87,852","130,869","1,000","20,180"
,,Optional Tasks,,1.9.3,"11,311","1,410","0,049","4,492","25,754","87,852","130,869",,
,Jmeter,Main,"12,29",2.9,"8,769","0,929","0,380","8,196","21,757","101,673","141,704","0,981","12,055"
,Ant,Main,,2.8,"8,900","0,949","0,377","8,383","22,057","103,801","144,467",,
,Ant,HTTP,"26,23",2.9,"7,793","0,868","0,245","9,199","22,852","53,926","94,883","1,015","26,618"
,Ant,HTTP,,2.8,"7,691","0,866","0,246","9,188","22,567","52,942","93,501",,
,Log4j,Configurator,"13,14",1.2.17,"7,308","1,000","0,000","8,077","28,154","56,308","100,846","1,115","14,654"
,Ant,,,1.2.16,"6,500","1,000","0,000","8,357","25,714","48,857","90,429",,
,Ant,Appender,44,1.2.17,"10,967","0,600","0,533","6,667","30,367","38,800","87,933","0,976","42,957"
,Ant,Appender,,1.2.16,"10,862","0,621","0,517","7,172","30,069","40,828","90,069",,
,Tomcat,Catalina,"7,42",7.0.59,"9,121","0,121","0,788","3,455","22,152","54,727","90,364","0,947","7,027"
,Ant,,,7.0.57,"9,581","0,129","0,774","3,484","23,258","58,194","95,419",,
